id,tweet,label
1,cdc currently reports NUM deaths general discrepancies death counts different sources small explicable death toll stands roughly NUM people today,real
2,states reported NUM deaths small rise last tuesday southern states reported NUM deaths URL,real
3,politically correct woman almost uses pandemic excuse reuse plastic bag URL,fake
4,NUM testing laboratories india NUMth august NUM NUM tests done dg URL,real
5,populous states generate large case counts look new cases per million today NUM smaller states showing cases per million california texas al ar id ks ky la ms nv sc URL,real
6,covid act found average person illinois covid NUM infecting NUM NUM people data shows infection growth rate declined time factors stay home order restrictions put place URL,real
7,tested positive symptoms stay home away people learn cdc recommendations around others covid NUM infection URL URL,real
8,obama calls trump coronavirus response chaotic disaster URL,fake
9,clearly obama administration leave kind game plan something like,fake
10,retraction hydroxychloroquine chloroquine without macrolide treatment covid NUM multinational registry analysis lancet URL,fake
11,take simple daily precautions help prevent spread respiratory illnesses like learn protect coronavirus covid NUM URL URL,real
12,nba poised restart month march reported utah jazz got NUM coronavirus tests matter hours time u testing sluggish URL URL,fake
13,announced first participants age cohort dosed phase NUM study mrna vaccine mrna NUM novel coronavirus read URL URL,real
14,NUM lakh tests done NUMrd successive day cumulative testing date reached NUM tests per million tpm cross NUM,real
15,protect others using public transportation practice social distancing avoid touching surfaces practice hand hygiene learn URL URL,real
16,NUM august NUM NUMam till total NUM positive cases amp NUM related deaths URL,real
17,donald trump negligence incompetence NUM NUM people died nearly NUM million cases covid NUM NUM million americans work yet patting back unbelievable,fake
18,india continues scale new peaks tests NUM NUM lakh samples tested daily NUM consecutive days country achieved levels high daily testing,real
19,announced shipped vials mrna NUM company vaccine novel coronavirus nih used planned phase NUM study u URL URL,real
20,multiple facebook posts claim aussies fined found talking conspiracies covid NUM posts included screenshot segment australian breakfast television show evidence claim,fake
21,nobel prize laureate tasuku honjo say coronavirus natural post facebook claims fact professor honjo said greatly saddened name used spread misinformation latest URL URL,fake
22,nz covid tracker app remain important useful alert level NUM people encouraged download app similar one keep record going,real
23,breaking news president cryill ramaphosa asked foreign nations depart south africa NUM june NUM due increasing cases covid NUM,fake
24,delighted NUM high upper middle countries economies confirmed participate covax facility number growing urge yet joined NUMth september,real
25,intriguing possibility mood changes anxiety may function invasion cns brain URL,real
26,elon musck new baby get job kid URL,fake
27,new alcohol free sanitizer developed dedan kimathi university kenya,fake
28,appendix b gathering state orders testing huge chunk work goes appendix evaluation accessibility cdc data tracker,real
29,yesterday laboratories completed NUM tests NUM testing people managed isolation quarantine routine testing either days NUM NUM stay brings total number tests completed date NUM,real
30,reusing masks nih found vaporized hydrogen peroxide uv light heat effective sanitizers URL URL,real
31,shifted focus different moments updated running timeline response virus URL reply us recent trump moments think belong running list URL,fake
32,doctored image president donald trump shared claiming asked people chant hare krishna hare rama,fake
33,weekend choose spend time outdoors event gathering stay NUM ft apart amp wear cloth face cover slow spread learn URL URL,real
34,cdc recommends mothers stop breastfeeding boost vaccine efficacy,fake
35,singapore airlines haults flights due coronavirus outbreak URL,fake
36,florida governor ron desantis botches covid NUM response banning corona beer order flatten pandemic curve,fake
37,apologise government ekiti state error remain committed improving quality control processes ensure accurate transparent reporting cases URL,real
38,nyt invented video doctor fighting coronavirus hospital,fake
39,may break NUMk cases day today south alone reported NUM URL,real
40,alert americans coronavirus symptoms asked cough directly onto president trump,fake
41,launched solidarity response fund far mobilized NUM NUM individuals companies amp philanthropies addition mobilized NUM billion member states amp generous support countries URL,real
42,football player cristiano ronaldo turned hotels hospitals help coronavirus patients paying doctors staff,fake
43,including testing asymptomatic workers involved managed isolation quarantine airport border staff part wider surveillance measures expected operational early july,real
44,want national lockdown continues progress uk pm says govt take measures insists want second national lockdown read URL URL,real
45,daily update published states reported NUMk tests NUMk cases NUM deaths URL,real
46,new recoveries india exceeded new cases NUM consecutive days URL,real
47,top NUM states high active caseload also ones presently reporting high level recoveries URL,real
48,currently NUM people managed isolation quarantine current effective capacity NUM gives us excess capacity NUM next week projecting NUM arrivals NUM departures facilities,real
49,schools struggling cope lack tests new infections increasing since became compulsory pupils return get child tested virus explainer,real
50,scientists astrazeneca complain work coronavirus vaccine keeps delayed noddy holder ringing ask ready christmas URL,fake
51,masks help prevent spread widely used public wear mask help protect around others wear one help protect people around incl URL URL,real
52,NUM new cases lagos NUM gombe NUM plateau NUM kwara NUM enugu NUM ogun NUM katsina NUM ekiti NUM bauchi NUM osun NUM rivers NUM NUM confirmed NUM discharged NUM deaths URL,real
53,already coronavirus simple test URL,fake
54,rt high number sustained recoveries india surges ahead highest single day recovery nearl,real
55,italy surrendered coronavirus pandemic measures control covid NUM exhausted,fake
56,president trump forced wear protective medical mask URL,fake
57,rt coronavirus misinformation moving offline reddit user posted flyer site told us delive,fake
58,orwell dead living bridge continued URL,fake
59,residents york asked think new government rule allows people england may fined NUM fail self isolate read click URL URL,real
60,central government given permission schools open,fake
61,today total NUM approved labs testing consist NUM govt amp NUM pvt labs URL URL,real
62,government come pressure lack availability tests read URL URL,real
63,fewer kids dying since lockdown new white paper examines,fake
64,NUM million cases reported almost NUM deaths although countries affected continue see intense transmission relatively small group countries,real
65,justin trudeau resigns amidst coronavirus pandemic URL,fake
66,george soros one people responsible new coronavirus born laboratory,fake
67,sensitivity test definitely something specialists talking seen real number also looked hard things,real
68,experts call claims cow dung urine yoga ayush prevent treat covid NUM,fake
